Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
12,MTR 1924,9.0,4589,4.5,40,4.5,4549,$,Indian,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJRR8bWM8Z2jER8ml0qU8UFeE,2026-03-28T21:30:11.066Z,false
13,Khansama Tandoori,8.2,4544,4.2,77,4.1,4467,$$,Indian,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJTWeme8cZ2jERwHzQoIresGc,2026-03-28T21:30:11.066Z,false
14,Jumbo Seafood,9.3,4536,3.8,244,4.7,4292,$$$$,Seafood,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJw51YdBIZ2jERoa5GzNLFYvk,2026-03-28T21:30:11.066Z,false
15,Ayasofya Turkish Restaurant,9.6,4485,,,4.8,4485,,Turkish Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJL7m1cy8Z2jERHtaorNYRzuQ,2026-03-28T21:30:11.066Z,false
16,The Banana Leaf Apolo,8.2,4316,3.9,50,4.1,4266,$$,"Indian, Asian Fusion",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJO_NQTscZ2jERh4vyBNFILBU,2026-03-28T21:30:11.066Z,false
17,Tai Hwa Pork Noodle,7.8,4125,4.0,105,3.9,4020,$,"Chinese, Noodles",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJuYHZKrQZ2jERuAMG3qVN5pk,2026-03-28T21:30:11.066Z,false
18,Dusk @ Mount Faber Peak,9.4,4106,,,4.7,4106,,,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJTa5Gxd8b2jERJkyx1H654CU,2026-03-28T21:30:11.066Z,false
19,Kimchi Dining | Korean Restaurant Singapore,9.4,4052,,,4.7,4052,,Korean Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJSxaj9WgZ2jERRzKy45IsYl8,2026-03-28T21:30:11.066Z,false
20,Song Fa Bak Kut Teh,8.8,3373,4.6,57,4.4,3316,$,"Chinese, Singaporean",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJDcaRbY8Z2jER9weu8geZhtU,2026-03-28T21:30:11.066Z,false
21,Tiong Bahru Bakery,8.6,3360,3.9,81,4.3,3279,$$,"Cafes, Bakeries",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ--NsrnAZ2jER-Ry6WJB26Uo,2026-03-28T21:30:11.066Z,false
22,Bismillah Biryani,7.8,3263,3.2,41,3.9,3222,$,Indian,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ_Zh0qbkZ2jERUOVEa0m0ahs,2026-03-28T21:30:11.066Z,false
23,Sungei Road Laksa,8.4,2943,4.5,97,4.2,2846,$,"Singaporean, Chinese, Noodles",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJnTLdlLcZ2jER7RBSwuK6zqU,2026-03-28T21:30:11.066Z,false
24,Colony,9.2,2906,4.5,40,4.6,2866,$$$$,"Indian, Chinese, Malaysian",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ02kZpakZ2jERDQVTq10I8b0,2026-03-28T21:30:11.066Z,false
25,KOMA Singapore,8.6,2867,,,4.3,2867,,Japanese Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJFzUYYm8Z2jERs4gjq8fcHCA,2026-03-28T21:30:11.066Z,false
26,Fat Cow,9.2,2640,4.0,40,4.6,2600,$$$$,"Japanese, Steakhouses",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJbSEigYkZ2jERXX_RecpRRJI,2026-03-28T21:30:11.066Z,false
27,Tolido's Espresso Nook,8.8,2620,4.5,74,4.4,2546,$$,"Breakfast & Brunch, Coffee & Tea",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJn21OvQQQ2jERkuv0_a1tY7I,2026-03-28T21:30:11.066Z,false
28,The Halia at Singapore Botanic Gardens,8.6,2598,3.9,30,4.3,2568,$$,"Asian Fusion, Halal",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ8fTbnR8a2jERMeuOlYUiwL0,2026-03-28T21:30:11.066Z,false
29,Burnt Ends,9.0,2549,4.3,15,4.5,2534,,Barbeque,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJLZ9DYnIZ2jERQ51Am7WzJLM,2026-03-28T21:30:11.066Z,false
30,Ya Kun Kaya Toast,8.2,2537,4.1,62,4.1,2475,$,"Singaporean, Coffee & Tea, Bakeries",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJa6UTfwwZ2jERIYNfNMEuB_o,2026-03-28T21:30:11.066Z,false
31,Usman Restaurant,8.2,2444,3.9,39,4.1,2405,$,Indian,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJqXDvrscZ2jERNSU1neMSnUA,2026-03-28T21:30:11.066Z,false
32,Wild Honey,8.5,2269,3.4,69,4.3,2200,$$$,"Specialty Food, Breakfast & Brunch",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJSZujEpEZ2jERc0ez6ins24Y,2026-03-28T21:30:11.066Z,false
33,Candlenut,8.8,2066,4.1,70,4.4,1996,$$$$,"Asian Fusion, Singaporean, Chinese",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ5ySHC3IZ2jERu-xiMMTjAVE,2026-03-28T21:30:11.066Z,false
34,CUT,9.2,1978,4.4,66,4.6,1912,$$$$,"American, Steakhouses",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJnWdQKQQZ2jERxH3g-HsHchE,2026-03-28T21:30:11.066Z,false
35,NOX - Dine in the Dark,9.2,1968,,,4.6,1968,,"European Restaurant, Fine Dining Restaurant",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ8aeYp7EZ2jER1_QRLriAt_E,2026-03-28T21:30:11.066Z,false
36,Wee Nam Kee Chicken Rice,8.2,1962,4.2,60,4.1,1902,$,"Chicken Shop, Hainan",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJo_3G2eYZ2jERGaZZV5DH0Lc,2026-03-28T21:30:11.066Z,false
37,Annapoorna (Original Pure vegetarian),9.4,1921,,,4.7,1921,,Family Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ00jOSwAZ2jER7_Z3_D_lAPg,2026-03-28T21:30:11.066Z,false
38,Killiney Kopitiam,8.4,1896,4.0,57,4.2,1839,$,"Breakfast & Brunch, Coffee & Tea",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ61p5UZcZ2jERq2f3Wv25g-s,2026-03-28T21:30:11.066Z,false
39,Artichoke Cafe & Bar,8.6,1848,3.9,73,4.3,1775,$$,"Bars, Middle Eastern",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJzTqqFLsZ2jEROOgjd_-TM7k,2026-03-28T21:30:11.066Z,false
40,Tora Tora Tora Japanese Restaurant Singapore,9.6,1776,,,4.8,1776,,"Japanese Restaurant, Japanese Izakaya Restaurant, Sushi Restaurant",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJBUNpgbAX2jERZR8GXn-t9-o,2026-03-28T21:30:11.066Z,false
41,National Kitchen By Violet Oon,8.8,1743,4.5,66,4.4,1677,$$$,"Asian Fusion, Singaporean",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ33v3PKcZ2jERNogFrxUdKEo,2026-03-28T21:30:11.066Z,false
