Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
49,Pinsere,9.4,3929,4.7,257,4.7,3672,,Pizza,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJO3MwNghhLxMRmLw_2k6zhJU,2026-03-28T21:31:34.965Z,false
50,Da Francesco,8.4,3788,4.1,579,4.2,3209,,"Italian, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ-0huSkVgLxMRwyDaaXfRhzI,2026-03-28T21:31:34.965Z,false
51,Osteria Bacco,9.2,3745,,,4.6,3745,,,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJfQsQPgdhLxMRUuhUoQ4GWRA,2026-03-28T21:31:34.965Z,false
52,Taverna Trilussa,9.0,3643,4.3,246,4.5,3397,,"Roman, Bars","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJXUJDlUdgLxMROUWgy2781eU,2026-03-28T21:31:34.965Z,false
53,Alessio,8.7,3560,4.2,501,4.4,3059,,"Roman, Wine Bars, Beer Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJGTu7wqVhLxMRyAH_demWPt4,2026-03-28T21:31:34.965Z,false
54,Roma Sparita,8.8,3492,4.2,231,4.4,3261,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJuXfIQjZgLxMR8p7QxVGGtnY,2026-03-28T21:31:34.965Z,false
55,Nonna Betta,7.9,3431,3.5,239,4.0,3192,,"Roman, Vegetarian, Trattorie","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJTRnY4UtgLxMRtCoCizR1LgY,2026-03-28T21:31:34.965Z,false
56,Cantina dei Papi,9.2,3405,4.7,574,4.6,2831,,"Wine Bars, Italian, Sandwiches","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJCe8Et6xhLxMRBrtgyil1ubU,2026-03-28T21:31:34.965Z,false
57,Osteria Barberini,8.6,3072,4.5,336,4.3,2736,,"Seafood, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJdz8BsKthLxMRj5PQQVBKQv4,2026-03-28T21:31:34.965Z,false
58,Piccolo Arancio,9.0,3036,4.4,240,4.5,2796,,Roman,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJzZzr26xhLxMRj4YxD70mX7k,2026-03-28T21:31:34.965Z,false
59,La Taverna dei Fori Imperiali,8.8,2962,4.1,205,4.4,2757,,"Italian, Gluten-Free","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJXdzO3LNhLxMRtdzzdg7hqW8,2026-03-28T21:31:34.965Z,false
60,Life,9.2,2859,4.4,276,4.6,2583,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ35zKflRgLxMRV3wSarkFZ4M,2026-03-28T21:31:34.965Z,false
61,Pizzeria San Marco,8.2,2776,4.0,221,4.1,2555,,"Pizza, Italian","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJpR7O4gZhLxMRXjDB6aVs3aY,2026-03-28T21:31:34.965Z,false
62,Cul de Sac,8.6,2772,4.1,223,4.3,2549,,"Wineries, Seafood","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJH5aYZEVgLxMRgghKtKVE548,2026-03-28T21:31:34.965Z,false
63,Su e Giu Cucina Romana,9.2,2442,4.6,228,4.6,2214,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJFcGj11hgLxMRG4X8moi6Or4,2026-03-28T21:31:34.965Z,false
64,La Tavernetta 48,9.2,2232,4.4,271,4.6,1961,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ139DrFFgLxMRqjkub4t-CwY,2026-03-28T21:31:34.965Z,false
65,Al Gallinaccio,9.2,2199,4.4,27,4.6,2172,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJAfCPkKxhLxMRT0oR-jxDMvE,2026-03-28T21:31:34.965Z,false
66,Ristorante Il Falchetto,9.0,2148,4.5,61,4.5,2087,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJMcfmXVJgLxMRtPEdXXOukpA,2026-03-28T21:31:34.965Z,false
67,Rione XIV Bistrot,9.6,2144,4.9,19,4.8,2125,,"Italian, Bistros, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJdTP5bWdgLxMRzugz8Q1BlGA,2026-03-28T21:31:34.965Z,false
68,Quel che cՏ laboratorio Di Cucina,9.8,1916,,,4.9,1916,,,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJJxZsdiFhLxMR3eGlg2XNCuc,2026-03-28T21:31:34.965Z,false
